MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924798,0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.2740000,-0.0212012,0.0287731,-0.0578008
MsgID.LOCAL_VELOCITY,3.2740000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924793,0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.5250000,-0.0670872,-0.1511540,-0.0435198
MsgID.LOCAL_VELOCITY,3.5250000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924796,0.0330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.7750000,-0.0361579,-0.0123358,-0.0337118
MsgID.LOCAL_VELOCITY,3.7750000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924799,0.0310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.0250000,-0.0005529,0.0261422,-0.0314401
MsgID.LOCAL_VELOCITY,4.0250000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,0.0330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.2750000,0.0000684,-0.0005891,-0.0339711
MsgID.LOCAL_VELOCITY,4.2750000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924799,0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.5250000,-0.0002199,0.0069819,-0.0400628
MsgID.LOCAL_VELOCITY,4.5250000,0.0000225,0.0000248,0.0000772
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924799,0.0490000
