MsgID.GLOBAL_HOME,0.0000000,-122.3957366,37.7932739,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957395,37.7932773,3.3380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,0.0000000,-1.7700000
MsgID.LOCAL_POSITION,1209.4070000,0.3780580,-0.2577649,-3.4109561
MsgID.LOCAL_VELOCITY,1209.4070000,0.0327831,-0.0051467,-1.2519058
MsgID.GLOBAL_POSITION,0.0000000,-122.3957383,37.7932767,3.4390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,0.0000000,0.7200000
MsgID.LOCAL_POSITION,1209.6570000,0.3011011,-0.1155107,-3.3871126
MsgID.LOCAL_VELOCITY,1209.6570000,0.0374867,-0.0047523,1.1778791
MsgID.GLOBAL_POSITION,0.0000000,-122.3957378,37.7932770,3.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.8300000,0.0000000,1.7600000
MsgID.LOCAL_POSITION,1209.9080000,0.3924741,-0.1114025,-2.9472363
MsgID.LOCAL_VELOCITY,1209.9080000,1.2000701,-0.0013744,1.5213069
MsgID.GLOBAL_POSITION,0.0000000,-122.3957381,37.7932821,2.7550000
MsgID.LOCAL_VELOCITY,0.0000000,3.0300000,0.0000000,0.1600000
MsgID.LOCAL_POSITION,1210.1580000,1.0973681,-0.1261174,-2.7516565
MsgID.LOCAL_VELOCITY,1210.1580000,3.4759550,0.0131081,-0.1954553
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957366,37.7932739,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957381,37.7932901,2.8720000
MsgID.LOCAL_VELOCITY,0.0000000,4.7100000,0.0200000,-0.9800000
MsgID.LOCAL_POSITION,1210.4080000,2.0066161,-0.1317053,-2.9168706
MsgID.LOCAL_VELOCITY,1210.4080000,4.8771815,0.0223578,-0.8807968
MsgID.GLOBAL_POSITION,0.0000000,-122.3957383,37.7933006,3.0080000
MsgID.LOCAL_VELOCITY,0.0000000,5.3000000,0.0200000,-0.1300000
MsgID.LOCAL_POSITION,1210.6580000,3.2889683,-0.1232821,-3.0089328
MsgID.LOCAL_VELOCITY,1210.6580000,5.4410133,0.0286226,0.0430823
MsgID.GLOBAL_POSITION,0.0000000,-122.3957365,37.7933135,2.9690000
MsgID.LOCAL_VELOCITY,0.0000000,6.0600000,0.0300000,0.2500000
MsgID.LOCAL_POSITION,1210.9080000,4.7758040,0.0408479,-2.9550786
MsgID.LOCAL_VELOCITY,1210.9080000,6.3113155,0.0334196,0.2202783
MsgID.GLOBAL_POSITION,0.0000000,-122.3957364,37.7933277,2.9360000
MsgID.LOCAL_VELOCITY,0.0000000,7.0700000,0.0200000,0.0200000
MsgID.LOCAL_POSITION,1211.1580000,6.4375792,-0.0134068,-2.9387221
MsgID.LOCAL_VELOCITY,1211.1580000,7.3349099,0.0144258,-0.0354204
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957366,37.7932739,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957378,37.7933449,2.9580000
MsgID.LOCAL_VELOCITY,0.0000000,8.0200000,0.0100000,-0.0500000
MsgID.LOCAL_POSITION,1211.4090000,8.2307940,-0.1103470,-2.9635634
MsgID.LOCAL_VELOCITY,1211.4090000,8.1412668,0.0143924,-0.0193198
MsgID.GLOBAL_POSITION,0.0000000,-122.3957378,37.7933627,2.9720000
MsgID.LOCAL_VELOCITY,0.0000000,8.5000000,0.0300000,0.1000000
MsgID.LOCAL_POSITION,1211.6590000,10.3651628,-0.0957667,-2.9711251
